Time,AP[MW],BP[MW],CP[MW]
00:00:00, 0, 0, 0
00:15:00, 0, 0, 0
00:30:00, 0, 0, 0
00:45:00, 0, 0, 0
01:00:00, 0, 0, 0
01:15:00, 0, 0, 0
01:30:00, 0, 0, 0
01:45:00, 0, 0, 0
02:00:00, 0, 0, 0
02:15:00, 0, 0, 0
02:30:00, 0, 0, 0
02:45:00, 0, 0, 0
03:00:00, 0, 0, 0
03:15:00, 0, 0, 0
03:30:00, 0, 0, 0
03:45:00, 0, 0, 0
04:00:00, 0, 0, 0
04:15:00, 0, 0, 0
04:30:00, 0, 0, 0
04:45:00, 0, 0, 0
05:00:00, 0, 0, 0
05:15:00, 0, 0, 0
05:30:00, 0, 0, 0
05:45:00, 0, 0, 0
06:00:00, 0, 0, 0
06:15:00, 0, 0, 0
06:30:00, 0, 0, 0
06:45:00, 0, 0, 0
07:00:00, 0, 0, 0
07:15:00, 0, 0, 0
07:30:00, 0, 0, 0
07:45:00, 0, 0, 0
08:00:00, 0, 0, 0
08:15:00, 0, 0, 0
08:30:00, 0, 0, 0
08:45:00, 0, 0, 0
09:00:00, 0, 0, 0
09:15:00, 0, 0, 0
09:30:00, 0, 0, 0
09:45:00, 0, 0, 0
10:00:00, 0, 0, 0
10:15:00, 0, 0, 0
10:30:00, 0, 0, 0
10:45:00, 0, 0, 0
11:00:00, 0, 0, 0
11:15:00, 0, 0, 0
11:30:00, 0, 0, 0
11:45:00, 0, 0, 0
12:00:00, 0, 0, 0
12:15:00, 0, 0, 0
12:30:00, 0, 0, 0
12:45:00, 0, 0, 0
13:00:00, 0, 0, 0
13:15:00, 0, 0, 0
13:30:00, 0, 0, 0
13:45:00, 0, 0, 0
14:00:00, 0, 0, 0
14:15:00, 0, 0, 0
14:30:00, 0, 0, 0
14:45:00, 0, 0, 0
15:00:00, 0, 0, 0
15:15:00, 0, 0, 0
15:30:00, 0, 0, 0
15:45:00, 0, 0, 0
16:00:00, 0, 0, 0
16:15:00, 0, 0, 0
16:30:00, 0, 0, 0
16:45:00, 0, 0, 0
17:00:00, 0, 0, 0
17:15:00, 0, 0, 0
17:30:00, 0, 0, 0
17:45:00, 0, 0, 0
18:00:00, 0.0052899998315767922, 0, 0
18:15:00, 0, 0, 0.0052099998308873046
18:30:00, 0, 0, 0.0050659998314744135
18:45:00, 0, 0.0049699998319959304, 0
19:00:00, -0.0068360201069470916, 0, 0
19:15:00, -0.0068359160813964062, 0, 0
19:30:00, -0.0043113995376565271, 0, 0
19:45:00, -0.0039379969038784206, 0, 0
20:00:00, -0.0050409997915346256, 0, 0
20:15:00, -0.0048249998035022781, 0, 0
20:30:00, 0, -0.0048629998015625109, 0
20:45:00, 0, -0.0049279997967521041, 0
21:00:00, 0, 0.0046809998717245689, 0 
21:15:00, 0, 0, 0.0048179998712432228 
21:30:00, 0, 0.0046209998519059381, 0
21:45:00, 0, 0, 0.0048159998711625951
22:00:00, 0, 0, 0.0046449999405882680 
22:15:00, 0.0046319999434211399, 0, 0 
22:30:00, 0.0046539999448436111, 0, 0 
22:45:00, 0.0048059999139109353, 0, 0
23:00:00, 0, 0, 0.0053769999773429875
23:15:00, 0, 0, 0.0046589999778168876 
23:30:00, 0, 0, 0
23:45:00, 0, 0, 0

