P1[kW], P2[kW], P3[kW], Q1[kVAr], Q2[kVAr], Q3[kVAr]
1.533,0.777,0.077,0.03,0.331,0.053
1.198,0.136,0.391,0.143,0.007,0.06
0.986,0.156,0.117,0.01,0.017,-0.002
0.323,0.559,0.051,0.4,0.049,0.001
0.325,0.305,0.041,0.002,-0.004,0.044
0.176,0.133,0.005,0.042,-0.023,0.004
0.094,0.077,0.131,0.04,-0.005,-0.011
0.105,0.102,0.066,0.022,-0.032,-0.011
0.217,0.118,0.168,-0.012,-0.057,0.024
0.187,0.076,0.217,-0.072,0.024,-0.008
0.007,0.412,0.562,-0.009,0.101,-0.028
0.279,0.28,0.374,0.041,-0.018,0.172
0.275,0.185,0.418,0.404,0.1,0.076
0.115,0.443,0.228,0.153,0.058,0.114
0.032,0.211,0.536,-0.008,0.001,-0.009
0.073,0.215,0.121,-0.016,0.045,-0.018
0.106,0.116,0.127,0.045,-0.024,0.009
0.127,0.111,0.064,0.002,-0.025,-0.005
0.113,0.401,0.068,-0.019,0.011,0.078
0.556,0.198,0.042,0.064,0.006,-0.003
0.487,0.064,0.353,0.123,0.006,0.0
0.251,0.049,0.638,0.018,0.056,-0.076
0.21,0.485,0.194,-0.032,-0.034,0.063
0.44,0.222,0.22,-0.006,0.035,0.129
0.291,0.243,0.361,0.12,-0.02,0.02
0.391,0.057,0.052,0.051,-0.02,-0.003
0.049,0.06,0.274,0.016,-0.011,-0.066
0.021,0.117,0.474,-0.003,-0.006,-0.051
0.086,0.176,0.158,0.04,0.012,0.079
0.084,0.198,0.058,0.007,-0.011,0.042
0.017,0.176,0.123,-0.016,0.086,-0.006
0.091,0.091,0.11,0.04,-0.007,0.033
0.056,0.157,0.454,-0.008,-0.038,0.038
0.339,0.334,0.247,0.053,0.052,0.047
0.678,0.066,0.072,0.01,0.013,-0.006
2.122,0.09,0.189,-0.035,-0.033,0.163
1.551,0.226,0.401,-0.164,-0.144,0.061
0.448,0.234,0.265,-0.084,-0.078,0.066
0.435,0.148,0.195,-0.001,0.043,0.142
0.224,0.209,0.196,0.069,0.034,0.168
0.697,0.335,0.081,0.142,0.127,0.048
0.291,0.158,0.281,0.085,0.099,-0.006
0.359,0.241,0.034,0.092,0.021,-0.005
0.575,0.428,0.062,0.207,0.227,-0.024
1.113,0.193,0.123,0.024,0.033,-0.007
0.09,0.542,0.411,-0.022,-0.074,0.007
0.066,0.113,0.241,-0.011,0.037,-0.06
0.076,0.257,0.044,-0.012,0.101,-0.02
0.195,0.204,0.052,0.102,0.077,0.065
0.095,0.123,0.159,0.001,-0.035,0.024
0.371,0.117,0.105,-0.033,0.0,-0.001
0.511,0.291,0.072,0.172,0.173,-0.024
0.116,0.206,0.066,0.034,0.016,0.069
0.044,0.5,0.363,-0.018,0.036,-0.043
0.306,0.25,0.504,0.045,-0.063,0.038
0.163,0.245,0.655,0.058,-0.027,0.07
0.645,0.089,0.523,0.203,-0.038,0.038
0.659,0.023,0.218,0.087,-0.052,-0.032
0.242,0.375,0.14,0.034,-0.084,0.035
0.338,0.054,0.38,-0.028,-0.005,-0.059
0.747,0.977,0.176,-0.126,0.028,-0.035
0.578,0.4,0.239,-0.022,-0.024,0.029
0.267,0.095,0.4,-0.003,-0.054,0.061
0.661,0.402,0.141,0.222,0.309,-0.014
0.338,0.285,0.697,0.213,0.174,0.145
1.043,0.176,0.328,0.034,0.032,0.128
0.15,1.13,0.091,-0.029,0.098,0.006
0.505,0.621,0.422,0.026,-0.025,0.014
0.119,0.181,1.018,-0.014,0.021,0.268
0.648,0.403,0.67,0.012,0.303,0.28
0.649,0.52,0.427,-0.039,0.153,0.062
0.445,0.46,0.382,-0.076,-0.034,0.267
0.962,0.347,0.25,0.132,-0.073,0.188
1.095,0.154,0.047,0.276,-0.008,0.001
0.132,0.615,0.849,0.117,-0.092,0.495
1.662,0.14,0.513,0.041,-0.067,0.305
0.117,1.365,0.346,0.003,0.056,0.076
0.263,0.983,0.114,0.115,0.016,0.022
0.399,0.573,0.416,0.14,0.057,0.028
0.312,0.323,0.428,-0.005,-0.043,0.097
0.142,0.382,0.591,0.096,-0.052,-0.032
0.045,0.227,0.696,0.019,0.088,0.066
0.041,0.27,0.817,0.012,0.242,0.126
0.074,0.772,0.171,-0.021,0.461,0.025
1.418,0.71,0.369,0.047,0.037,0.218
1.48,0.193,0.315,-0.017,-0.054,0.456
0.275,0.211,1.436,0.018,-0.029,0.066
0.925,0.051,0.232,0.097,-0.048,-0.023
0.259,0.438,0.635,-0.001,0.0,0.063
0.182,0.583,0.491,0.382,-0.086,0.031
0.324,0.665,0.27,0.074,-0.061,0.0
0.545,0.376,0.137,0.021,0.141,0.047
0.502,0.377,0.055,0.083,0.116,0.009
0.101,0.22,0.427,-0.021,0.02,-0.05
0.306,0.218,0.297,-0.02,-0.053,-0.027
0.357,0.434,0.273,0.021,0.287,0.21
